duplicate_type,key,occurrence_count,classification,description
RAW_UID_DUPLICATE,UbhONRGm-90--61,2,SAFE,Raw UID occurred 2 times in raw CSV; disambiguated in manifest
CROSS_SPLIT_SENTENCE_OVERLAP,Reading is fun.,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Eat,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,drop,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Now let's read.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's talk!,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Fill in the blanks.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's read and write.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,V,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Page 66.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Say aloud.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Fill in the letters to complete the crossword puzzle.,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,New words,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Let's draw.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Here you can see a picture of a house.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,A,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,B,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,E,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,G,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,M,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,R,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,N,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,H,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,D,3,REVIEW,"Identical English target appears in test, train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,Unit 5,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,New words learnt from the poem.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,Up.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,three,2,REVIEW,"Identical English target appears in train, val"
CROSS_SPLIT_SENTENCE_OVERLAP,I'm going to sweep the dirt away.,2,REVIEW,"Identical English target appears in test, train"
CROSS_SPLIT_SENTENCE_OVERLAP,For example,2,REVIEW,"Identical English target appears in test, train"
