sample_id,session_id,official_split,proposed_independent_split,translation
1782bea75c7d-1,1782bea75c7d,train,train,Page 111
1782bea75c7d-2,1782bea75c7d,train,train,Make it shorter.
1782bea75c7d-4,1782bea75c7d,train,train,Make this line shorter.
1782bea75c7d-5,1782bea75c7d,train,train,but don't rub out any part of it.
1782bea75c7d-6,1782bea75c7d,train,train,No one knew what to do.
1782bea75c7d-7,1782bea75c7d,train,train,Each minister looked at the line and was puzzled.
1782bea75c7d-8,1782bea75c7d,train,train,No one could think of any way to make it longer.
1782bea75c7d-10,1782bea75c7d,train,train,"Birbal started smiling. When it was his turn, he went near the line."
1782bea75c7d-11,1782bea75c7d,train,train,Discuss with your partner what Birbal would do.
1782bea75c7d-12,1782bea75c7d,train,train,Now read further.
1782bea75c7d-14,1782bea75c7d,train,train,under the first one.
1782bea75c7d-15,1782bea75c7d,train,train,He didn't touch the first line. Everyone in the court.
1782bea75c7d-16,1782bea75c7d,train,train,saw what he drew and said.
1782bea75c7d-17,1782bea75c7d,train,train,"That's true, the first line is shorter now."
1782bea75c7d-21,1782bea75c7d,train,train,Erase
1782bea75c7d-23,1782bea75c7d,train,train,Page number 113
1782bea75c7d-24,1782bea75c7d,train,train,Reading is fun.
1782bea75c7d-27,1782bea75c7d,train,train,How did Birbal make the line shorter?
1782bea75c7d-28,1782bea75c7d,train,train,Say aloud
1782bea75c7d-29,1782bea75c7d,train,train,which letters cannot be heard when we say these words.
1782bea75c7d-31,1782bea75c7d,train,train,Brighter Dark
1782bea75c7d-32,1782bea75c7d,train,train,Darker. Light.
1782bea75c7d-33,1782bea75c7d,train,train,Lighter
1782bea75c7d-34,1782bea75c7d,train,train,Big! Bigger!
1782bea75c7d-35,1782bea75c7d,train,train,Fast. Faster
1782bea75c7d-36,1782bea75c7d,train,train,Page number 114
1782bea75c7d-37,1782bea75c7d,train,train,Team Time!
1782bea75c7d-38,1782bea75c7d,train,train,Discuss with your partner and draw pictures to show the following. 1.
1782bea75c7d-39,1782bea75c7d,train,train,The ball on the left side is bigger than the one on the right. And here you can draw on the left.
1782bea75c7d-40,1782bea75c7d,train,train,a ball bigger than the ball on the right. 2
1782bea75c7d-42,1782bea75c7d,train,train,And now here are two spaces provided to draw Rita and Radha. Here you can draw Rita shorter and Radha bigger than Rita.
1782bea75c7d-43,1782bea75c7d,train,train,3. Raghu's basket is heavier than Ratan's.
1782bea75c7d-45,1782bea75c7d,train,train,And now you can draw Raghu and Ratton's basket.
1782bea75c7d-46,1782bea75c7d,train,train,Make sure that you draw Rughu's basket heavier than Rathan's. 4
1782bea75c7d-48,1782bea75c7d,train,train,"Here are two spaces provided to draw, Rajat and Raj."
1782bea75c7d-50,1782bea75c7d,train,train,Try to draw Rajat's taller than Raj.
ee235596b76f-3,ee235596b76f,train,test,The mouse and the pencil.
ee235596b76f-4,ee235596b76f,train,test,"One day, a little mouse was looking for something to eat."
ee235596b76f-6,ee235596b76f,train,test,I'm going to bite you. Said the mouse
ee235596b76f-7,ee235596b76f,train,test,Oh you are hurting me! Said the pencil
ee235596b76f-8,ee235596b76f,train,test,Let me draw you one last picture and then you can do what you like.
ee235596b76f-9,ee235596b76f,train,test,very well said the mouse
ee235596b76f-10,ee235596b76f,train,test,The pencil drew a big circle.
ee235596b76f-11,ee235596b76f,train,test,Is that a cheese? Asked the mouse.
ee235596b76f-12,ee235596b76f,train,test,We will call it a cheese!
ee235596b76f-13,ee235596b76f,train,test,said the pencil and it drew three little circles inside the big one.
ee235596b76f-14,ee235596b76f,train,test,That's an apple! squeaked the mouse!
ee235596b76f-16,ee235596b76f,train,test,and began drawing some funny curved things near the second circle.
ee235596b76f-17,ee235596b76f,train,test,Why those are cucumbers? Set the mouse and leaking his lips.
ee235596b76f-19,ee235596b76f,train,test,to get my teeth into them.
ee235596b76f-20,ee235596b76f,train,test,The pencil drew two little triangles on the top circle.
ee235596b76f-21,ee235596b76f,train,test,A-a-a-a-a-a-a-a-a-a-a-a. Squate the mouse.
ee235596b76f-22,ee235596b76f,train,test,Now you have made it like a cat and please don't go please
ee235596b76f-24,ee235596b76f,train,test,But the pencil went on till it had drawn long whiskers and mouth on the tops circel
ee235596b76f-27,ee235596b76f,train,test,"Hey! It's a real cat! Help! Help! Help! Now, see!"
ee235596b76f-28,ee235596b76f,train,test,If you can draw a cat that looks real enough to frighten away the mice.
ee235596b76f-31,ee235596b76f,train,test,Describe the cat in your own words.
ee235596b76f-32,ee235596b76f,train,test,Here is the space provided.
ee235596b76f-34,ee235596b76f,train,test,Let's make!
ee235596b76f-35,ee235596b76f,train,test,A pencil cap
ee235596b76f-39,ee235596b76f,train,test,method
ee235596b76f-41,ee235596b76f,train,test,Hold any one corner of the square between your thumb and pointer finger and roll the chart paper with your other hand in such a way that it takes the shape of a cone.
ee235596b76f-42,ee235596b76f,train,test,Apply glue to the outer edge and stick it.
ee235596b76f-43,ee235596b76f,train,test,Your pencil cap is ready.
ee235596b76f-45,ee235596b76f,train,test,Let's practice!
ee235596b76f-46,ee235596b76f,train,test,Here is a sentence given below. With some dots.
ee235596b76f-47,ee235596b76f,train,test,Connect the dots to complete the sentence. A cat?
ee235596b76f-48,ee235596b76f,train,test,on the mat.
df4bb619957f-1,df4bb619957f,train,train,Page 64
df4bb619957f-2,df4bb619957f,train,train,Unit 6
df4bb619957f-3,df4bb619957f,train,train,If I were an apple.
df4bb619957f-4,df4bb619957f,train,train,"Learn, recite and enjoy this poem."
df4bb619957f-5,df4bb619957f,train,train,If I were an apple.
df4bb619957f-7,df4bb619957f,train,train,I think I would drop down on a nice boy like me.
df4bb619957f-9,df4bb619957f,train,train,I wouldn't stay there giving nobody joy.
df4bb619957f-12,df4bb619957f,train,train,Apple Boy
df4bb619957f-13,df4bb619957f,train,train,Eat
df4bb619957f-14,df4bb619957f,train,train,drop
df4bb619957f-15,df4bb619957f,train,train,Joy
df4bb619957f-16,df4bb619957f,train,train,Now let's read.
df4bb619957f-17,df4bb619957f,train,train,I like to eat an apple.
df4bb619957f-18,df4bb619957f,train,train,We clap our hands with joy.
df4bb619957f-19,df4bb619957f,train,train,Page 65
df4bb619957f-20,df4bb619957f,train,train,Reading is fun.
df4bb619957f-21,df4bb619957f,train,train,Where is the apple?
df4bb619957f-22,df4bb619957f,train,train,Where is the boy?
df4bb619957f-23,df4bb619957f,train,train,How can the boy get the apple?
df4bb619957f-24,df4bb619957f,train,train,Let's talk!
df4bb619957f-25,df4bb619957f,train,train,Do you like apples!
df4bb619957f-28,df4bb619957f,train,train,Fill in the blanks.
df4bb619957f-29,df4bb619957f,train,train,"If I were a bird, I would."
df4bb619957f-31,df4bb619957f,train,train,Fly?
df4bb619957f-32,df4bb619957f,train,train,or cry.
df4bb619957f-33,df4bb619957f,train,train,If I were a Bee
df4bb619957f-34,df4bb619957f,train,train,I would dash. Buzz
df4bb619957f-35,df4bb619957f,train,train,or chirp.
df4bb619957f-36,df4bb619957f,train,train,Let's read and write.
df4bb619957f-38,df4bb619957f,train,train,T U
df4bb619957f-39,df4bb619957f,train,train,V
df4bb619957f-40,df4bb619957f,train,train,Now connect the dots to write the letters S-T-U-V.
df4bb619957f-41,df4bb619957f,train,train,again and again.
df4bb619957f-43,df4bb619957f,train,train,Page 66.
df4bb619957f-44,df4bb619957f,train,train,Say aloud.
df4bb619957f-45,df4bb619957f,train,train,Apple
df4bb619957f-46,df4bb619957f,train,train,Drew
df4bb619957f-47,df4bb619957f,train,train,Dew
df4bb619957f-48,df4bb619957f,train,train,ball people
df4bb619957f-49,df4bb619957f,train,train,Grew
df4bb619957f-51,df4bb619957f,train,train,few
df4bb619957f-52,df4bb619957f,train,train,Call
df4bb619957f-53,df4bb619957f,train,train,Ripple
